,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
intercept,111.67272906659491,2.7313467656171193,40.88559185247342,2.636764007099223e-244,106.31495222834695,117.03050590484287
speed,1.983471037312853,0.048931643067736764,40.535549451448134,2.1060019373648012e-241,1.8874873170522353,2.0794547575734708
