,Coef.,Std.Err.,t,P>|t|,[0.025,0.975]
intercept,43.528137123306806,1.788229073517506,24.34147714514311,3.7657082483077424e-110,40.02036856305628,47.03590568355733
speed,2.834524337512164,0.032159380547567194,88.13989228802454,0.0,2.771440884909533,2.897607790114795
